case	page	line	markerSize	textSize	letters	words	corrected	text
cia-blue-book-14-1955	209	31	6.60	6.60	13	3	no	✓ / _,< ;/'('/. K/1 ?G,",? t? .f 3 '/7.tJ 1ft. 11.?.t. /L L.? ?6 f.J.1 ~./ 1.9.4
cia-blue-book-14-1955	213	69	5.40	4.26	4	1	no	✓.J ,,_() .[• p 0 () 17,0 Q.o
cia-blue-book-14-1955	218	154	6.72	4.50	7	2	no	✓.J (.J /It. In I /;?,() ~2./
cia-blue-book-14-1955	226	69	22.80	8.40	2	0	no	• I 'I
cia-blue-book-14-1955	230	82	6.72	7.22	14	3	no	✓ lt!tl /t?.17 1,Mtl .s- 4 f //.I R.4 ~(I.I!)
cia-blue-book-14-1955	231	112	8.10	8.10	23	6	no	• J :7.f o., 2.'i I 0 I .1.1 l).(J .J.I I 0 I .s.~ ,., f.l t 0 t. /(J.l 0.IJ .t~,J
cia-blue-book-14-1955	239	64	3.00	2.82	3	1	no	✓'l/J\n~
cia-blue-book-14-1955	242	115	6.48	3.96	0	0	no	✓.:-
cia-blue-book-14-1955	248	113	3.36	6.46	3	0	no	✓ () 3 3M M 3/),L ?
cia-blue-book-14-1955	253	5	5.70	5.40	13	2	no	• l>lnsullic. Info,
cia-blue-book-14-1955	257	10	6.48	4.74	4	1	no	✓.f ;;7,t} i{g
cia-blue-book-14-1955	259	7	5.30	5.16	20	4	no	• 3-Lii,hl Phenom. z. I .f /.t dff' f',{i
cia-blue-book-14-1955	259	31	7.20	6.63	4	0	no	✓ /) d' //q a;:; ,U
cia-blue-book-14-1955	311	133	5.16	9.40	0	0	no	► ;-~
faa-phak-8083-25c	4	3	10.00	10.00	59	8	no	• Pilot’s Handbook of Aeronautical Knowledge Addendum A, dated February 2021
faa-phak-8083-25c	4	4	10.00	10.00	58	8	no	• Pilot’s Handbook of Aeronautical Knowledge Addendum B, dated January 2022
faa-phak-8083-25c	4	5	10.00	10.00	56	8	no	• Pilot’s Handbook of Aeronautical Knowledge Addendum C, dated March 2023
faa-phak-8083-25c	4	6	10.00	10.00	67	10	no	• Included language to answer National Transportation Safety Board (NTSB) Safety
faa-phak-8083-25c	364	10	10.02	10.02	44	7	no	• Pilots undergoing flight instruction at all levels
faa-phak-8083-25c	364	15	10.02	10.02	39	6	no	• High-wing airplane. Momentarily raise the wing
faa-phak-8083-25c	364	17	10.02	10.02	38	6	no	• Low-wing airplane. Momentarily lower the wing
faa-phak-8083-25c	364	19	10.02	10.02	42	5	no	• Appropriate clearing procedures should precede
faa-phak-8083-25c	364	24	10.02	10.02	43	9	no	• Pilots must be aware of the limitations inherent in
faa-phak-8083-25c	364	27	10.02	10.02	40	7	no	• Reduced scan frequency due to concentration on
faa-phak-8083-25c	364	30	10.02	10.02	37	7	no	• Blind spots related to high-wing and low-wing
faa-phak-8083-25c	364	33	10.02	10.02	43	5	no	• Prevailing weather conditions including reduced
faa-phak-8083-25c	364	35	10.02	10.02	44	8	no	• The attitude of the aircraft will create additional
faa-phak-8083-25c	364	37	10.02	10.02	35	7	no	• The physical limitations of the human eye,
faa-phak-8083-25c	364	44	10.02	10.02	40	10	no	• ADS-B In is an effective system to help pilots see
faa-phak-8083-25c	364	59	10.02	10.02	34	7	no	• Understand the limitations of ADS-B In. In
faa-phak-8083-25c	364	63	10.02	10.02	40	10	no	• Limit the amount of time that you focus on flight
faa-phak-8083-25c	364	65	10.02	10.02	38	6	no	• Develop a strategic approach to scanning for
faa-phak-8083-25c	365	13	10.00	10.00	42	9	no	• Plan each flight—you may have flown the flight many
faa-phak-8083-25c	365	18	10.00	10.00	39	6	no	• Talk and squawk—Proper communication with ATC
faa-phak-8083-25c	365	22	10.00	10.00	36	7	no	• Give yourself some room—GPS is usually more
faa-phak-8083-25c	365	59	10.00	10.00	34	7	no	• Read back all runway crossing and/or hold
faa-phak-8083-25c	365	61	10.00	10.00	37	7	no	• Review airport layouts as part of preflight
faa-phak-8083-25c	365	64	10.00	10.00	18	3	no	• Know airport signage.
faa-phak-8083-25c	365	65	10.00	10.00	33	6	no	• Review NOTAM for information on runway/
faa-phak-8083-25c	365	67	10.00	10.00	41	6	no	• Request progressive taxi instructions from ATC
faa-phak-8083-25c	365	69	10.00	10.00	42	8	no	• Check for traffic before crossing any runway hold
faa-phak-8083-25c	365	71	10.00	10.00	42	9	no	• Turn on aircraft lights and the rotating beacon or
faa-phak-8083-25c	365	73	10.00	10.00	37	8	no	• When landing, clear the active runway as soon
faa-phak-8083-25c	365	76	10.00	10.00	35	7	no	• Study and use proper phraseology in order
faa-phak-8083-25c	365	79	10.00	10.00	34	6	no	• Write down complex taxi instructions at
faa-phak-8083-25c	369	87	10.00	10.00	38	10	no	• Do not cross any hold markings or exit onto any
fed-explained-2021	58	33	10.00	8.00	27	4	no	• Primary Dealer Credit Facility
fed-explained-2021	58	34	10.00	8.00	22	3	no	• Commercial Paper Funding
fed-explained-2021	58	36	10.00	8.00	21	4	no	• Money Market Mutual Fund
fed-explained-2021	58	38	10.00	8.00	22	3	no	• Commercial Paper Funding
fed-explained-2021	58	40	10.00	8.00	24	4	no	• Main Street Lending Program
fed-explained-2021	58	41	10.00	8.00	26	3	no	• Municipal Liquidity Facility
fed-explained-2021	58	42	10.00	8.00	25	3	no	• Paycheck Protection Program
fed-explained-2021	58	44	10.00	8.00	25	3	no	• Term Asset-Backed Securities
fed-explained-2021	58	46	10.00	8.00	22	3	no	• Primary Market Corporate
fed-explained-2021	58	48	10.00	8.00	24	3	no	• Secondary Market Corporate
fed-explained-2021	77	19	8.00	8.00	12	2	no	• Asset quality
fed-explained-2021	77	20	8.00	8.00	10	1	no	• Management
fed-explained-2021	77	21	8.00	8.00	8	1	no	• Earnings
fed-explained-2021	77	22	8.00	8.00	9	1	no	• Liquidity
fed-explained-2021	77	23	8.00	8.00	23	4	no	• Sensitivity to market risk
fed-explained-2021	77	24	8.00	8.00	14	2	no	• Risk management
fed-explained-2021	77	31	8.00	8.00	18	2	no	• Financial condition
fed-explained-2021	132	12	10.00	9.00	73	11	no	• Community development website: The Federal Reserve’s work in community development is
fed-explained-2021	132	15	10.00	9.00	81	12	no	• Support for employment and workforce development: The Federal Reserve recognizes the challeng-
fed-explained-2021	132	19	10.00	9.00	81	11	no	• Support for small businesses and entrepreneurship: Viable small businesses and small-business
fed-explained-2021	132	22	10.00	9.00	82	12	no	• Support for neighborhood revitalization: The Federal Reserve supports efforts to align communi-
gpo-warren-1964	148	19	3.12	2.40	3	1	no	• ' / ;.;o?.no.462
gpo-warren-1964	148	20	2.64	6.23	28	6	yes	• W S. PoiUl )katPi Order IS JJ warning
gpo-warren-1964	178	28	3.35	3.91	10	2	no	• SCHOOL BOOK
gpo-warren-1964	322	5	1.92	1.68	0	0	no	• •
gpo-warren-1964	322	33	3.11	4.07	87	17	yes	• other Communist countries, while turning your back on the pleas of Hungarian, East German, Cuban and other
gpo-warren-1964	546	20	2.16	6.82	45	9	yes	•• arrived as this was being ccnnaaaad. There was elsctri-
gpo-warren-1964	601	16	2.88	4.32	8	3	no	• by vuic oi
gpo-warren-1964	628	7	0.96	3.84	57	10	yes	• nri pot^sihly Eorc jocret Service k n, Ju'Jt as I h.->d started questioning
gpo-warren-1964	642	27	1.44	7.36	8	2	no	• Sex' Llale
gpo-warren-1964	642	35	1.44	7.56	12	2	no	• Eyes Blue-gray
ntrs-20190030725-dasc-2019	5	1	6.97	9.96	44	8	yes	• Controllability: By leaving node k at time Tk, flight f
ntrs-20190030725-dasc-2019	5	3	6.97	9.96	45	9	yes	• Reachability: There is no time instant Tk−1 available to
ntrs-20190030725-dasc-2019	5	100	6.97	9.96	30	7	yes	• the totality of the intervals (7), (8), (9) as the
ntrs-20190030725-dasc-2019	5	103	6.97	9.96	36	8	yes	• the travel time bounds specified in (5.a) as the
ntrs-20190030725-dasc-2019	6	48	6.97	9.96	33	9	yes	• At the first node on the route, assign STA
ntrs-20190030725-dasc-2019	6	60	6.97	9.96	21	4	yes	• If every computed STArf (k)
ntrs-20190030725-dasc-2019	6	79	6.97	9.96	18	3	yes	• Units of measurement:
ntrs-20190030725-dasc-2019	6	91	6.97	9.96	29	4	yes	• Parameters affecting air traffic:
ntrs-20190030725-dasc-2019	6	120	6.97	9.96	42	8	yes	• The source and structure of the problem instances:
ntrs-20190030725-dasc-2019	10	100	5.98	8.97	33	10	yes	• At the first node on the route of f, let STA1
ntrs-20190030725-dasc-2019	10	104	5.98	8.97	28	6	yes	• At all subsequent nodes n, let STAn+1
ntrs-20190030725-dasc-2019	10	109	5.98	8.97	37	7	yes	• If possible, subtract the same positive time
ntrs-20200002975-gwl-2020	13	18	9.96	9.96	39	8	no	 Peak bending moment due to lift, research model
ntrs-20200002975-gwl-2020	13	19	9.96	9.96	37	5	no	 Maximum resultant bending moment, research
ntrs-20200002975-gwl-2020	13	21	9.96	9.96	36	7	no	 Normalized mean bending moment due to drag,
ntrs-20200002975-gwl-2020	13	23	9.96	9.96	36	7	no	 Normalized peak bending moment due to lift,
ntrs-20200002975-gwl-2020	13	25	9.96	9.96	39	5	no	 Normalized maximum resultant bending moment,
scotus-loper-bright-2024	86	23	7.98	10.98	40	9	yes	 Under the Public Health Service Act, the Food and
scotus-loper-bright-2024	86	31	7.98	10.98	42	9	yes	 Under the Endangered Species Act, the Fish and Wild-
scotus-loper-bright-2024	87	9	7.98	10.98	42	7	yes	 Under the Medicare program, reimbursements to hos-
scotus-loper-bright-2024	87	17	7.98	10.98	45	8	yes	 Congress directed the Department of the Interior and
scotus-loper-bright-2024	87	28	7.98	10.98	41	9	yes	 Or take Chevron itself. In amendments to the Clean
