page	line	token	pieces	leftFont	rightFont	fontChange	gapEm	dy	spaceGlyph	native	found
80	37	8miles,	8 + miles,	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	8 We have total distance, 8miles, under distance	yes
81	7	2mph	2 + mph	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Bob walks 2mph faster than Fred	yes
81	9	2mph	2 + mph	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Bob is r + 2, showing 2mph faster	yes
81	38	4in	4 + in	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	To answer the question completely we plug 4in for	yes
82	17	toboth	to + both	CDUUDX+EuropeanComputerModern-R	CDUUDX+EuropeanComputerModern-R	no	0.123	0.00	no	Add 4t toboth sides sovariableis onlyon one side	yes
82	17	sovariableis	so + variable + is	CDUUDX+EuropeanComputerModern-R	CDUUDX+EuropeanComputerModern-R	no	0.123	0.00	no	Add 4t toboth sides sovariableis onlyon one side	yes
82	17	sovariableis	so + variable + is	CDUUDX+EuropeanComputerModern-R	CDUUDX+EuropeanComputerModern-R	no	0.117	0.00	no	Add 4t toboth sides sovariableis onlyon one side	yes
82	17	onlyon	only + on	CDUUDX+EuropeanComputerModern-R	CDUUDX+EuropeanComputerModern-R	no	0.115	0.00	no	Add 4t toboth sides sovariableis onlyon one side	yes
82	47	6showing	6 + showing	-	-	-	-	-	-	Mike′s time is t + 6showing his 6hour head start	no
82	47	6hour	6 + hour	-	-	-	-	-	-	Mike′s time is t + 6showing his 6hour head start	no
83	1	2hours	2 + hours	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Our solution for t, she catches him after 2hours	yes
83	58	2in	2 + in	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	To answer the question we plug 2in for t	yes
92	21	6to	6 + to	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	+6 + 6 Add 6to both sides	yes
98	42	1to	1 + to	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Add 1to both sides	yes
99	26	6from	6 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 6from both sides	yes
109	20	4to	4 + to	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	+4 + 4 Add 4to both sides	yes
109	50	2from	2 + from	-	-	-	-	-	-	5 Solve for y. Subtract 2from both sides	no
114	5	5x	5 + x	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.147	4.80	no	5x + 4 	yes
114	24	9from	9 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 9from both sides	yes
114	45	4to	4 + to	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Add 4to each side	yes
119	18	2and	2 + and	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Start at 2and shade below	yes
120	25	2from	2 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 2from both sides	yes
120	28	1to	1 + to	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Add− 1to both sides	yes
120	29	4from	4 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract− 4from both sides	yes
120	39	5from	5 + from	-	-	-	-	-	-	5− 2x 11 Subtract 5from both sides	no
125	18	3to	3 + to	-	-	-	-	-	-	8 3x− 7 and 2x− 3 > 1 Add 7 or 3to both sides	no
126	23	2from	2 + from	-	-	-	-	-	-	− 6− 4x +2 < 2 Subtract 2from all three parts	no
126	29	0and	0 + and	-	-	-	-	-	-	0 < x 2 Graph x between 0and 2	no
127	19	3or	3 + or	-	-	-	-	-	-	29) 1+5k 7k− 3or k− 10 > 2k + 10	no
127	20	1and	1 + and	-	-	-	-	-	-	31) 2x+ 9 10x+ 1and 3x− 2 < 7x+ 2	no
127	23	0or	0 + or	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	4) 10r > 0or r− 5<− 12	yes
127	29	0and	0 + and	-	-	-	-	-	-	12)− 6+ v 0and 2v > 4	no
127	36	6or	6 + or	-	-	-	-	-	-	22)− 6− 8x− 6or 2+ 10x > 82	no
127	38	6or	6 + or	-	-	-	-	-	-	26) 4n + 8< 3n− 6or 10n− 8 9 +9n	no
129	14	5to	5 + to	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	+ 5+5 +5 + 5 Add 5to both sides	yes
129	29	4to	4 + to	-	-	-	-	-	-	− 4− 3|x| − 16 Add 4to both sides	no
130	10	9from	9 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 9from both sides	yes
130	28	1from	1 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 1from all three parts	yes
139	31	3first	3 + first	-	-	-	-	-	-	Solve this equation, distributing− 3first	no
140	32	3first	3 + first	-	-	-	-	-	-	Solve this equation, distributing 3first	no
141	41	5from	5 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 5from both sides	yes
142	11	4from	4 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Solve for the lone variable, subtract 4from both sides	yes
147	13	6from	6 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 6from both sides	yes
147	31	6and	6 + and	-	-	-	-	-	-	We can get opposites in front of x, find LCM of 6and 9,	no
153	15	4and	4 + and	-	-	-	-	-	-	Start with first two equations. LCM of 4and 6is 12.	no
153	15	6is	6 + is	-	-	-	-	-	-	Start with first two equations. LCM of 4and 6is 12.	no
153	31	8is	8 + is	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	The LCM of 6and− 8is 24.	yes
154	2	tousesubstitution	to + use + substitution	CDUUDX+EuropeanComputerModern-R	CDUUDX+EuropeanComputerModern-R	no	0.113	0.00	no	(B) 5y + 5z =5 Thesecondequationissolvedforz tousesubstitution	yes
154	2	tousesubstitution	to + use + substitution	CDUUDX+EuropeanComputerModern-R	CDUUDX+EuropeanComputerModern-R	no	0.107	0.00	no	(B) 5y + 5z =5 Thesecondequationissolvedforz tousesubstitution	yes
155	19	3is	3 + is	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	The LCM of 1 and− 3is 3	yes
159	62	5from	5 + from	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Subtract 5from both sides	yes
160	0	5quarters	5 + quarters	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	5quarters and 6dimes Our Solution	yes
160	0	6dimes	6 + dimes	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	5quarters and 6dimes Our Solution	yes
161	59	3times	3 + times	CXWKAE+CMBX12	RULTEX+EuropeanComputerModern-B	yes	0.130	0.00	no	3times as many 8cent stamples as 5cent stamps	yes
161	59	8cent	8 + cent	CXWKAE+CMBX12	RULTEX+EuropeanComputerModern-B	yes	0.120	0.00	no	3times as many 8cent stamples as 5cent stamps	yes
161	59	5cent	5 + cent	CXWKAE+CMBX12	RULTEX+EuropeanComputerModern-B	yes	0.130	0.00	no	3times as many 8cent stamples as 5cent stamps	yes
171	37	1in	1 + in	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	is pure, 100% or 1in our table, written as a	yes
177	28	5xy2z3	5xy + 2z + 3	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	2x3y5z· 5xy2z3 	yes
177	28	5xy2z3	5xy + 2z + 3	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.047	4.32	no	2x3y5z· 5xy2z3 	yes
179	42	(x3yz2)4	(x3 + yz + 2)4	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	(x3yz2)4 	yes
179	42	(x3yz2)4	(x3 + yz + 2)4	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.047	4.32	no	(x3yz2)4 	yes
179	43	x12y4z8	x12y + 4z + 8	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	x12y4z8 Our solution	yes
179	43	x12y4z8	x12y + 4z + 8	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.047	4.32	no	x12y4z8 Our solution	yes
179	44	4on	4 + on	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Put the exponent of 4on each factor, multiplying powers	yes
180	0	2on	2 + on	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Put the exponent of 2on each factor, multiplying powers	yes
180	12	(4x2y5)3	(4x2 + y + 5)3	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	(4x2y5)3 	yes
180	12	(4x2y5)3	(4x2 + y + 5)3	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	(4x2y5)3 	yes
180	13	3on	3 + on	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Put the exponent of 3on each factor, multiplying powers	yes
180	14	43x6y15	43x6 + y + 15	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	43x6y15 Evaluate 43	yes
180	14	43x6y15	43x6 + y + 15	MXANZU+CMMI12	NATYDJ+EuropeanComputerModern-R	yes	0.035	4.32	no	43x6y15 Evaluate 43	yes
180	15	64x6y15	64x6 + y + 15	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	64x6y15 Our Solution	yes
180	15	64x6y15	64x6 + y + 15	MXANZU+CMMI12	NATYDJ+EuropeanComputerModern-R	yes	0.035	4.32	no	64x6y15 Our Solution	yes
180	29	5x4y2)3	5x4 + y + 2)3	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	(4x3y· 5x4y2)3 	yes
180	29	5x4y2)3	5x4 + y + 2)3	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	(4x3y· 5x4y2)3 	yes
180	31	(20x7y3)3	(20x7 + y + 3)3	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	(20x7y3)3 	yes
180	31	(20x7y3)3	(20x7 + y + 3)3	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	(20x7y3)3 	yes
180	33	203x21y9	203x21y + 9	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	203x21y9 Evaluate 203	yes
180	34	8000x21y9	8000x21y + 9	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	8000x21y9 Our Solution	yes
182	10	(2u3v2)2	(2u3v + 2)2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	13) (2u3v2)2	yes
182	18	4x3y4	4x3 + y + 4	-	-	-	-	-	-	23) 4x3y4	no
182	20	(x3y4	(x3 + y + 4	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	25) (x3y4	yes
182	20	(x3y4	(x3 + y + 4	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	25) (x3y4	yes
182	21	2x2y3)2	2x2 + y + 3)2	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	· 2x2y3)2	yes
182	21	2x2y3)2	2x2 + y + 3)2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	· 2x2y3)2	yes
182	22	2x(x4y4)4	2x(x4 + y + 4)4	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	27) 2x(x4y4)4	yes
182	22	2x(x4y4)4	2x(x4 + y + 4)4	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	27) 2x(x4y4)4	yes
182	23	7y5	7 + y + 5	-	-	-	-	-	-	29) 2x 7y5	no
182	24	4x2y3	4x2 + y3	QJAIEQ+CMR6	JJCYQV+CMMI8	yes	0.072	-2.28	no	3x3y· 4x2y3	yes
182	28	2y17	2y + 17	-	-	-	-	-	-	33) 2y17	no
182	29	(2x2y4)4	(2x2 + y + 4)4	QJAIEQ+CMR6	JJCYQV+CMMI8	yes	0.051	-2.28	no	(2x2y4)4	yes
182	29	(2x2y4)4	(2x2 + y + 4)4	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.047	2.28	no	(2x2y4)4	yes
182	35	2xy5	2xy + 5	-	-	-	-	-	-	37) 2xy5	no
182	36	2x2y3	2x2 + y + 3	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	· 2x2y3	yes
182	36	2x2y3	2x2 + y + 3	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	· 2x2y3	yes
182	37	2xy4	2xy + 4	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.032	2.28	no	2xy4 · y3	yes
182	38	q3r2	q + 3r + 2	-	-	-	-	-	-	39) q3r2	no
182	41	zy3	zy + 3	-	-	-	-	-	-	41) zy3	no
182	42	z3	z + 3	-	-	-	-	-	-	· z3 x4y4	no
182	42	x4y4	x4 + y + 4	-	-	-	-	-	-	· z3 x4y4	no
182	46	2zx2y2	2zx2 + y + 2	QJAIEQ+CMR6	JJCYQV+CMMI8	yes	0.072	-2.88	no	· 2zx2y2	yes
182	46	2zx2y2	2zx2 + y + 2	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.047	2.88	no	· 2zx2y2	yes
182	47	(x2z3)2	(x2z + 3)2	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.048	2.28	no	(x2z3)2	yes
182	54	xy2	xy + 2	-	-	-	-	-	-	· xy2	no
182	65	xy3	xy + 3	-	-	-	-	-	-	24) xy3	no
182	67	(u2v2	(u2v + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.039	4.32	no	26) (u2v2	yes
182	77	(y4)2	(y + 4)2	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.047	2.88	no	· (y4)2	yes
182	78	2y4	2y + 4	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.047	2.88	no	2y4	yes
182	82	2x2y4	2x2 + y4	QJAIEQ+CMR6	JJCYQV+CMMI8	yes	0.072	-2.28	no	2x2y4 · x2	yes
182	83	2x4y5	2x4 + y + 5	-	-	-	-	-	-	40) 2x4y5	no
182	84	2z10	2z + 10	JJCYQV+CMMI8	NATYDJ+EuropeanComputerModern-R	yes	0.048	2.88	no	· 2z10 x2y7	yes
182	84	x2y7	x2 + y + 7	QJAIEQ+CMR6	JJCYQV+CMMI8	yes	0.072	-2.88	no	· 2z10 x2y7	yes
182	84	x2y7	x2 + y + 7	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.032	2.88	no	· 2z10 x2y7	yes
182	85	(xy2z2)4	(xy + 2z + 2)4	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.047	2.40	no	(xy2z2)4	yes
182	85	(xy2z2)4	(xy + 2z + 2)4	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.048	2.40	no	(xy2z2)4	yes
182	86	2q3	2q + 3	-	-	-	-	-	-	42) 2q3 p3r4	no
182	86	p3r4	p3r + 4	-	-	-	-	-	-	42) 2q3 p3r4	no
184	47	e−4f2	e−4 + f + 2	-	-	-	-	-	-	2d−1 e−4f2 	no
184	49	2b2f2	2b2 + f + 2	-	-	-	-	-	-	2b2f2 Our Solution	no
185	41	6x−5y3	6x−5 + y + 3	-	-	-	-	-	-	6x−5y3 	no
185	43	6x−5y3	6x−5 + y + 3	-	-	-	-	-	-	6x−5y3 	no
186	13	3and	3 + and	-	-	-	-	-	-	2 Move 3and b to denominator because of negative exponents	no
186	31	9x−6y6	9x−6 + y + 6	-	-	-	-	-	-	9x−6y6	no
186	38	2with	2 + with	PZGVTZ+CMR12	CDUUDX+EuropeanComputerModern-R	yes	0.162	0.00	no	Move 2with negative exponent down and z0 =1	yes
186	38	z0	z + 0	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.047	4.32	no	Move 2with negative exponent down and z0 =1	yes
186	41	x6y9	x6 + y + 9	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	x6y9	yes
186	41	x6y9	x6 + y + 9	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	x6y9	yes
186	43	x6y9	x6 + y + 9	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	x6y9	yes
186	43	x6y9	x6 + y + 9	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	x6y9	yes
187	4	(2xy3)4	(2xy + 3)4	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.045	4.32	no	· (2xy3)4	yes
187	6	(2x2y2)4x−4	(2x2 + y + 2)4x−4	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.32	no	5) (2x2y2)4x−4	yes
187	6	(2x2y2)4x−4	(2x2 + y + 2)4x−4	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	5) (2x2y2)4x−4	yes
187	7	(x3y4)3	(x3 + y + 4)3	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	7) (x3y4)3	yes
187	7	(x3y4)3	(x3 + y + 4)3	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	7) (x3y4)3	yes
187	8	x−4y4	x−4 + y + 4	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.071	-4.32	no	· x−4y4	yes
187	8	x−4y4	x−4 + y + 4	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.32	no	· x−4y4	yes
187	10	3y3	3y + 3	-	-	-	-	-	-	3x 3y3 · 3x0	no
187	19	(x0y2)4	(x0 + y2)4	QJAIEQ+CMR6	JJCYQV+CMMI8	yes	0.072	-2.28	no	(x0y2)4	yes
187	26	y3	y + 3	-	-	-	-	-	-	25) y3	no
187	28	(x4y2)3	(x4 + y + 2)3	QJAIEQ+CMR6	JJCYQV+CMMI8	yes	0.071	-2.28	no	(x4y2)3	yes
187	28	(x4y2)3	(x4 + y + 2)3	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.032	2.28	no	(x4y2)3	yes
187	35	y(2x4y2)2	y(2x4 + y + 2)2	-	-	-	-	-	-	31) y(2x4y2)2	no
187	36	2x4y0	2x4 + y + 0	QJAIEQ+CMR6	JJCYQV+CMMI8	yes	0.051	-2.28	no	2x4y0	yes
187	36	2x4y0	2x4 + y + 0	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.047	2.28	no	2x4y0	yes
187	38	2x4y4z	2x4 + y4z	-	-	-	-	-	-	2x4y4z 2	no
187	39	(zy2)4	(zy + 2)4	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.047	2.40	no	· (zy2)4	yes
187	42	(2kj3)2	(2kj + 3)2	JJCYQV+CMMI8	QJAIEQ+CMR6	yes	0.052	2.28	no	(2kj3)2	yes
187	47	z3	z + 3	-	-	-	-	-	-	z3 · x2y3z 1	no
187	47	x2y3z	x2 + y3z	-	-	-	-	-	-	z3 · x2y3z 1	no
187	50	2x3y2	2x3 + y + 2	LDDDSE+CMR8	MXANZU+CMMI12	yes	0.086	-4.20	no	4) 2x3y2	yes
187	50	2x3y2	2x3 + y + 2	MXANZU+CMMI12	LDDDSE+CMR8	yes	0.035	4.20	no	4) 2x3y2	yes
187	56	3y3	3y + 3	-	-	-	-	-	-	10) 3y3	no
187	57	2x4y	2x4 + y	-	-	-	-	-	-	3yx3 · 2x4y 3	no
187	58	3x3y2	3x3 + y + 2	-	-	-	-	-	-	12) 3x3y2	no
187	61	2xy2	2xy + 2	-	-	-	-	-	-	14) 2xy2	no
187	62	4x3y	4x3 + y	-	-	-	-	-	-	· 4x3y 4	no
187	65	2y2	2y + 2	-	-	-	-	-	-	16) 2x 2y2	no
187	71	2y2	2y + 2	-	-	-	-	-	-	22) 2y2	no
187	74	(x4y	(x4 + y	-	-	-	-	-	-	(x4y 3) 1	no
187	76	2xy4	2xy + 4	-	-	-	-	-	-	· 2xy4	no
