page	line	token	pieces	class	atRunBoundary	marked
283	24	1tab	1 + tab	word	no	1tab Convert tab to mg, put tab in denominator
283	30	1tab	1 + tab	word	no	1tab
283	31	1dose	1 + dose	word	no	1dose
283	39	1dose	1 + dose	word	no	1dose
293	51	8works!	8 + works!	word	no	Looking for cubes that divide into 40. The number 8works!
299	51	5and	5 + and	word	no	√ by dividing by 5and 2 respectively
300	13	1more	1 + more	word	no	√ Index is 2, we need two fives in denominator, need 1more
300	50	1more	1 + more	word	no	Index is 3, we need three fives in denominator, need 1more
301	23	1more	1 + more	word	no	√ Index is 2, need two elevens, need 1more
315	63	8as	8 + as	word	no	4 ¦Rewrite 4 as 2¦2 ¦and 8as 2¦3
316	4	9as	9 + as	word	no	3 ¦Rewrite 9as 3¦2
322	13	1is	1 + is	word	no	√ Square root of− 1is i, square root of 4is 2
322	13	4is	4 + is	word	no	√ Square root of− 1is i, square root of 4is 2
322	40	1and	1 + and	word	no	√ Take square root of− 1and 100
329	27	1from	1 + from	word	no	Subtract x and 1from both sides
330	42	0first	0 + first	word	no	3(0)+ 9− (0)+ 4 =− 1 Check x = 0first
335	6	2equations!	2 + equations!	word	no	Solve, need 2equations!
337	28	5from	5 + from	word	no	x +5 =± 3 2√ Subtract 5from both sides
348	15	4from	4 + from	word	no	− 4− 4 +2 + 2 Subtract 4from first, add 2to second
348	15	2to	2 + to	word	no	− 4− 4 +2 + 2 Subtract 4from first, add 2to second
348	37	2from	2 + from	word	no	Subtract 2from the first, subtract 3from the second
348	37	3from	3 + from	word	no	Subtract 2from the first, subtract 3from the second
349	31	2from	2 + from	word	no	Subtract 2from both sides
350	13	2from	2 + from	word	no	Subtract 2from both sides
354	66	9to	9 + to	word	no	Add 9to both sides of each equation
355	5	3to	3 + to	word	no	Add 3to both sides
359	31	2to	2 + to	word	no	x +4is the length. Substitute 2to find
367	18	1from	1 + from	word	no	5 or x =3 Subtract 1from each to find electrician
388	25	3and	3 + and	word	no	− 3and 2. If x were one of those two values, the function would be undefined.
402	27	5inverses?	5 + inverses?	word	no	2− 5inverses? Calculate composition
404	5	4from	4 + from	word	no	Subtract 4from both sides
407	2	8as	8 + as	word	no	Rewrite 8as 2¦3 ¦and 32 as 2¦5
408	10	1to	1 + to	word	no	Add 1to both sides
422	20	1so	1 + so	word	no	, put over 1so we have proportion
422	47	1so	1 + so	word	no	, put over 1so we have a proportion
452	6	9or	9 + or	word	no	1) n− 9or n 2: (− ∞,− 9] [2, ∞)
452	7	4or	4 + or	word	no	2) m− 4or m <− 5 : ( − ∞,− 5) [− 4, ∞)
452	8	5or	5 + or	word	no	3) x 5or x <− 5: ( − ∞,− 5) [5, ∞)
452	9	0or	0 + or	word	no	4) r > 0or r <− 7 : ( − ∞ − 7), (0, ∞)
452	11	7or	7 + or	word	no	6) n <− 7or n > 8 : ( − ∞ − 7), (8, ∞)
452	25	8or	8 + or	word	no	20) r > 8or r <− 6: : ( − ∞,− 6) (8, ∞)
452	27	0or	0 + or	word	no	22) x 0or x > 8 : ( − ∞, 0] (8, ∞)
452	29	5or	5 + or	word	no	24) n 5or n < 1: ( − ∞, 1) [5, ∞)
453	3	1or	1 + or	word	no	28) a 1or a 19 : ( − ∞, 1] [19, ∞)
