page	line	token	pieces	class	atRunBoundary	marked
214	4	xy2	xy + 2	word	yes	xy¦2 ¦= 5x¦3¦yz¦5
214	4	5x3yz5	5x3 + yz + 5	word	yes	xy¦2 ¦= 5x¦3¦yz¦5
214	6	xy2	xy + 2	word	yes	xy¦2
214	7	xy2(3x2z	xy + 2(3x2z	word	yes	xy¦2¦(3x¦2¦z +5x¦3¦yz¦5
214	8	4y2	4y + 2	word	yes	=− 4y¦2 
214	10	4y2)	4y + 2)	word	yes	− 4y¦2¦) Our Solution
214	38	12x5y2	12x5 + y + 2	word	yes	12x¦5¦y¦2
214	39	2x3y2(6x2	2x3 + y + 2(6x2	word	yes	2x¦3¦y¦2¦(6x¦2
214	40	6x4y4	6x4 + y + 4	word	yes	− 6x¦4¦y¦4 ¦+8x¦3¦y¦5 
214	43	3xy2	3xy + 2	word	yes	− 3xy¦2 ¦+4y¦3¦) Our Solution
215	17	35x3y3z	35x3 + y + 3z	word	yes	21) 20x¦8¦y¦2¦z¦2 ¦+15x¦5¦y¦2¦z + 35x¦3¦y¦3¦z
215	18	50x2y	50x2 + y	word	yes	23) 50x¦2¦y + 10y¦2 ¦+ 70xz¦2
215	18	10y2	10y + 2	word	yes	23) 50x¦2¦y + 10y¦2 ¦+ 70xz¦2
215	18	70xz2	70xz + 2	word	yes	23) 50x¦2¦y + 10y¦2 ¦+ 70xz¦2
215	25	27x2y5	27x2 + y + 5	word	yes	8) 27x¦2¦y¦5
215	26	72x3y2	72x3 + y + 2	word	yes	− 72x¦3¦y¦2
215	27	8x3y2	8x3 + y + 2	word	yes	10) 8x¦3¦y¦2 ¦+4x¦3
215	31	27y7	27y + 7	word	yes	18) 27y¦7 ¦+12y¦2¦x + 9y¦2
215	31	9y2	9y + 2	word	yes	18) 27y¦7 ¦+12y¦2¦x + 9y¦2
215	34	15q2r2	15q + 2r + 2	word	yes	22) 3p +12q− 15q¦2¦r¦2
215	35	30y4z3x5	30y + 4z + 3x5	word	yes	24) 30y¦4¦z¦3¦x¦5 ¦+50y¦4¦z¦5
215	36	10y4z3x	10y + 4z + 3x	word	yes	− 10y¦4¦z¦3¦x
215	44	10y7	10y + 7	word	yes	32)− 10y¦7 ¦+6y¦10
215	45	8y8x	8y + 8x	word	yes	− 4y¦10¦x− 8y¦8¦x
216	4	5xy	5x + y	word	no	GCF is often a monomial like in the problem 5xy + 10xz the GCF is the mono-
219	9	7and	7 + and	word	no	y + 7and 7+ y are the same, use either one
219	32	5in	5 + in	word	no	Need to switch subtraction order, use− 5in middle
219	33	3match	3 + match	word	no	Now 2x− 3match on both! Factor out this GCF
220	2	40r3	40r + 3	word	yes	1) 40r¦3
220	3	8r2	8r + 2	word	yes	− 8r¦2
220	18	28y2x	28y + 2x	word	yes	− 28y¦2¦x
220	19	8y2	8y + 2	word	yes	19) 40xy + 35x− 8y¦2
220	29	14v3	14v + 3	word	yes	4) 14v¦3 ¦+ 10v¦2
220	29	10v2	10v + 2	word	yes	4) 14v¦3 ¦+ 10v¦2
220	37	49r2	49r + 2	word	yes	− 49r¦2 ¦+18r− 21
220	44	25y2	25y + 2	word	yes	24) 24xy + 25y¦2
220	45	30y3	30y + 3	word	yes	− 20x− 30y¦3
222	9	6and	6 + and	word	no	6and 3, split the middle term
223	36	9and	9 + and	word	no	− 9and 2, write the factors
224	14	6and	6 + and	word	no	1· 6and 2· 3 
225	16	15v2	15v + 2	word	yes	− 8uv + 15v¦2
225	20	12y2	12y + 2	word	yes	23) x¦2 ¦+ xy− 12y¦2
225	21	12y2	12y + 2	word	yes	25) x¦2 ¦+ 4xy− 12y¦2
225	41	14v2	14v + 2	word	yes	− 9uv + 14v¦2
225	46	5v2	5v + 2	word	yes	30) 5v¦2 ¦+ 20v− 25
226	25	9and	9 + and	word	no	The numbers are 9and 2, split the middle term
227	13	5y2	5y + 2	word	yes	− xy− 5y¦2 
227	14	5y2	5y + 2	word	yes	4x¦2 ¦+4xy− 5xy− 5y¦2 
228	12	5k2	5k + 2	word	yes	13) 5k¦2 ¦+13k +6
228	16	49y2	49y + 2	word	yes	19) 5x¦2 ¦+ 28xy− 49y¦2
228	19	21k2	21k + 2	word	yes	23) 21k¦2
228	24	4k2	4k + 2	word	yes	29) 4k¦2
228	32	8y2	8y + 2	word	yes	− 52xy + 8y¦2
228	35	7v2	7v + 2	word	yes	4) 7v¦2
228	39	3r2	3r + 2	word	yes	8) 3r¦2
228	42	5k2	5k + 2	word	yes	12) 5k¦2
228	44	3r2	3r + 2	word	yes	14) 3r¦2 ¦+ 16r +21
228	45	10v2	10v + 2	word	yes	16) 3u¦2 ¦+ 13uv− 10v¦2
228	47	5y2	5y + 2	word	yes	− 2xy− 5y¦2
228	48	28v2	28v + 2	word	yes	20) 5u¦2 ¦+ 31uv− 28v¦2
228	52	4r2	4r + 2	word	yes	26) 4r¦2 ¦+ r− 3
228	54	4r2	4r + 2	word	yes	30) 4r¦2 ¦+ 3r− 7
228	59	36v2	36v + 2	word	yes	− 3uv− 36v¦2
231	1	25y2	25y + 2	word	yes	4x¦2 ¦+ 20xy + 25y¦2 
231	5	Usesquareroots	Use + square + roots	word	no	Usesquareroots fromfirstandlastterms andsignfromthemiddle
231	34	4r2)	4r + 2)	word	yes	(5p 2r)(25p¦2 ¦10r 4r¦2¦) Use formula, use SOAP to fill in signs
232	34	4and	4 + and	word	no	The numbers are 4and 4, the same! Perfect Square
233	2	r2	r + 2	word	yes	1) r¦2
233	4	v2	v + 2	word	yes	3) v¦2
233	8	9k2	9k + 2	word	yes	7) 9k¦2
233	38	z4	z + 4	word	yes	43) 16− z¦4
233	40	y4	y + 4	word	yes	− y¦4
233	47	4v2	4v + 2	word	yes	6) 4v¦2
233	55	k2	k + 2	word	yes	16) k¦2 ¦+4k +4
233	58	k2	k + 2	word	yes	20) k¦2
234	27	196y2	196y + 2	word	yes	4x¦2 ¦+ 56xy + 196y¦2 
234	28	49y2)	49y + 2)	word	yes	4(x¦2 ¦+ 14xy + 49y¦2¦) 
234	31	7and	7 + and	word	no	7and 7, perfect square!
235	2	2y	2 + y	word	yes	5x ¦2¦y +15xy− 35x¦2
235	17	108x3y2	108x3 + y + 2	word	yes	108x¦3¦y¦2
235	18	39x2y2	39x2 + y + 2	word	yes	− 39x¦2¦y¦2 ¦+ 3xy¦2 
235	18	3xy2	3xy + 2	word	yes	− 39x¦2¦y¦2 ¦+ 3xy¦2 
235	19	3xy2	3xy + 2	word	yes	GCF first, 3xy¦2
235	20	3xy2(36x2	3xy + 2(36x2	word	yes	3xy¦2¦(36x¦2
235	23	3xy2(36x2	3xy + 2(36x2	word	yes	3xy¦2¦(36x¦2
236	4	4v2	4v + 2	word	yes	− 9uv + 4v¦2
236	15	25y2	25y + 2	word	yes	− 25y¦2
236	20	20y2x	20y + 2x	word	yes	23) 2x¦3 ¦+ 6x¦2¦y− 20y¦2¦x
236	25	3k3	3k + 3	word	yes	31) 3k¦3
236	26	27k2	27k + 2	word	yes	− 27k¦2 ¦+60k
236	29	y2	y + 2	word	yes	− 8xy + y¦2
236	32	60y2x	60y + 2x	word	yes	39) 9x¦3 ¦+ 21x¦2¦y− 60y¦2¦x
236	39	5x2y	5x2 + y	word	yes	8) 2x¦3 ¦+ 5x¦2¦y + 3y¦2¦x
236	39	3y2x	3y + 2x	word	yes	8) 2x¦3 ¦+ 5x¦2¦y + 3y¦2¦x
236	44	125v2	125v + 2	word	yes	− 150uv + 125v¦2
236	46	27y3	27y + 3	word	yes	− 27y¦3
236	59	18y2	18y + 2	word	yes	− 18y¦2
236	60	2k2	2k + 2	word	yes	34) 2k¦2 ¦+k− 10
236	61	v2	v + 2	word	yes	36) v¦2 ¦+ v
236	65	2u2v2	2u2v + 2	word	yes	42) 2u¦2¦v¦2
236	66	11uv3	11uv + 3	word	yes	− 11uv¦3 ¦+15v¦4
237	32	3and	3 + and	word	no	The numbers are− 3and 4, split the middle term
241	18	7r2	7r + 2	word	yes	21) 7r¦2 ¦+ 84=− 49r
241	21	3v2	3v + 2	word	yes	25) 3v¦2 ¦+ 7v =40
241	23	4k2	4k + 2	word	yes	29) 4k¦2 ¦+18k− 23 = 6k− 7
241	37	v2	v + 2	word	yes	14) v¦2
241	41	7k2	7k + 2	word	yes	18) 7k¦2 ¦+57k +13 = 5
243	25	5from	5 + from	word	no	x 0 or 3x +5 0 Subtract 5from second equation
244	9	5in	5 + in	word	no	x¦2 ¦+ 6x +8 when x =− 6 Substitute− 5in for each variable
244	29	15x4y2	15x4 + y + 2	word	yes	15x¦4¦y¦2
244	30	25x2y6	25x2 + y + 6	word	yes	25x¦2¦y¦6 
244	32	5y4	5y + 4	word	yes	5y¦4 ¦Our Solution
245	12	8by	8 + by	word	no	Reduce by dividing 24 and 8by 4
245	23	3and	3 + and	word	no	Divide out common factor (3x− 1) and divide 3and 6by 3
245	23	6by	6 + by	word	no	Divide out common factor (3x− 1) and divide 3and 6by 3
246	10	3k2	3k + 2	word	yes	7) ¦3k¦2 ¦+ 30k
247	24	2k2	2k + 2	word	yes	− 2k¦2
249	5	24y4	24y + 4	word	yes	24y¦4
249	6	(3and	(3 + and	word	no	Reduce coeﬃcients by dividing out common factors (3and 5)
249	12	33x5y4	33x5 + y + 4	word	yes	33x¦5¦y¦4 ¦Our Solution
251	79	7r2	7r + 2	word	yes	39) ¦7r¦2
251	149	7k2	7k + 2	word	yes	7k¦2
253	8	8and	8 + and	word	no	Find the LCD of 8and 6 
253	11	8that	8 + that	word	no	24 is the first multiple of 8that is also divisible by 6
253	16	4x2y5	4x2 + y + 5	word	yes	Find the LCD of 4x¦2¦y¦5 ¦and 6x¦4¦y¦3¦z¦6
253	17	4and	4 + and	word	no	First find the LCD of coeﬃcients 4and 6
256	83	5x2y,	5x2 + y,	word	yes	12) 5x¦2¦y, 25x¦3¦y¦5¦z
